 java.base@17.0.7/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:635)
 java.base@17.0.7/java.lang.Thread.run(Thread.java:833)
10:19:41.345 [Thread-36] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-9009"]
10:19:41.364 [Thread-36] INFO  o.a.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-9009"]
10:19:41.397 [Thread-36] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
10:19:41.454 [Thread-36] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-6 - Shutdown initiated...
10:19:41.487 [Thread-36] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-6 - Shutdown completed.
10:19:41.495 [Thread-36] INFO  c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
10:19:44.546 [Thread-36] INFO  c.netflix.discovery.DiscoveryClient - Unregistering ...
10:19:44.554 [Thread-36] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_UMS-BI-REPORTING-SERVICE/IKCON1049:UMS-BI-REPORTING-SERVICE:9009 - deregister  status: 200
10:19:44.638 [Thread-36] INFO  c.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
10:19:45.045 [restartedMain] INFO  c.i.u.b.r.UMSBIReportApplication - UMSBIReportApplication.main() entered with args : [Ljava.lang.String;@6a03bcb1
10:19:45.607 [restartedMain] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
10:19:45.630 [restartedMain] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
10:19:45.630 [restartedMain] WARN  o.s.c.c.c.ConfigServicePropertySourceLocator - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/UMS-BI-REPORTING-SERVICE/default": Connection refused: no further information; nested exception is java.net.ConnectException: Connection refused: no further information
10:19:45.631 [restartedMain] INFO  c.i.u.b.r.UMSBIReportApplication - No active profile set, falling back to 1 default profile: "default"
10:19:46.250 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
10:19:46.260 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 JPA repository interfaces.
10:19:46.356 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=df636d54-7bc8-363f-a68c-36bbf0629fe2
10:19:46.508 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9009 (http)
10:19:46.509 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9009"]
10:19:46.510 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:19:46.510 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.82]
10:19:46.593 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:19:46.593 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 958 ms
10:19:46.644 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
10:19:46.650 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-7 - Starting...
10:19:46.895 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-7 - Start completed.
10:19:46.896 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
10:19:47.071 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
10:19:47.072 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
10:19:47.094 [restartedMain] INFO  c.i.u.b.r.UMSBIReportApplication - Rest Template object created
10:19:47.118 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
10:19:47.220 [restartedMain] WARN  o.s.b.d.a.OptionalLiveReloadServer - Unable to start LiveReload server
10:19:47.344 [restartedMain] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
10:19:47.474 [restartedMain] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
10:19:47.512 [restartedMain] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
10:19:47.513 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
10:19:47.514 [restartedMain] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
10:19:47.515 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
10:19:47.516 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
10:19:47.516 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
10:19:47.516 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
10:19:47.516 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
10:19:47.516 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
10:19:47.516 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
10:19:47.535 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
10:19:47.536 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
10:19:47.537 [restartedMain] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
10:19:47.539 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1699937387539 with initial instances count: 8
10:19:47.541 [restartedMain] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application UMS-BI-REPORTING-SERVICE with eureka with status UP
10:19:47.541 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1699937387541, current=UP, previous=STARTING]
10:19:47.541 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_UMS-BI-REPORTING-SERVICE/IKCON1049:UMS-BI-REPORTING-SERVICE:9009: registering service...
10:19:47.542 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9009"]
10:19:47.550 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_UMS-BI-REPORTING-SERVICE/IKCON1049:UMS-BI-REPORTING-SERVICE:9009 - registration status: 204
10:19:47.552 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9009 (http) with context path ''
10:19:47.552 [restartedMain] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 9009
10:19:47.657 [restartedMain] INFO  c.i.u.b.r.UMSBIReportApplication - Started UMSBIReportApplication in 2.495 seconds (JVM running for 60136.695)
10:19:47.659 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
10:20:17.399 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
10:20:17.401 [Thread-43] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application UMS-BI-REPORTING-SERVICE with eureka with status DOWN
10:20:17.401 [Thread-43] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1699937417401, current=DOWN, previous=UP]
10:20:17.402 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_UMS-BI-REPORTING-SERVICE/IKCON1049:UMS-BI-REPORTING-SERVICE:9009: registering service...
10:20:17.409 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_UMS-BI-REPORTING-SERVICE/IKCON1049:UMS-BI-REPORTING-SERVICE:9009 - registration status: 204
10:20:17.427 [Thread-43] INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-9009"]
10:20:17.427 [Thread-43] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
10:20:17.431 [Thread-43] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-9009"]
10:20:17.433 [Thread-43] INFO  o.a.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-9009"]
10:20:17.435 [Thread-43] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
10:20:17.436 [Thread-43] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-7 - Shutdown initiated...
10:20:17.438 [Thread-43] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-7 - Shutdown completed.
10:20:17.439 [Thread-43] INFO  c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
10:20:20.445 [DiscoveryClient-0] WARN  c.n.discovery.TimedSupervisorTask - task supervisor shutting down, can't accept the task
10:20:20.446 [Thread-43] INFO  c.netflix.discovery.DiscoveryClient - Unregistering ...
10:20:20.449 [Thread-43] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_UMS-BI-REPORTING-SERVICE/IKCON1049:UMS-BI-REPORTING-SERVICE:9009 - deregister  status: 200
